comment,transcript
This man is crazy,guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in Toronto was targeted by khalistanis and now they want to track the Russian Envoy Moscow says this is equivalent to plotting a terror attack so they are demanding more security but don't expect Justin trudo to help out the true scale of support to khalistan is just becoming evident we have some new information from Canada it shows an increase in Asylum claims of khalistan sympathizers since the pandemic these claims have shut up now look at the numbers in 2020 just 28 khalistan sympathizers sought asylum in Canada in 2021 the number went up to 144 and in 2023 to 620 this coincided with a big change in Canadian politics in the 2021 election Trudeau could not secure a majority he needed help from the NDP the new democrat party it is led by Pro khalistan leader jmit Singh after this Alliance the Asylum number shot up in Canada is that a coincidence or a policy change only prime minister tudo can answer and just to be clear there is no active separatist movement in Punjab that's all in the past so I'm not sure what these Asylum Seekers are fleeing really just looking for a free ride I guess but either way the Trudeau jagm Alliance is now over jmit Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem
For US threatening diplomats also is a freedom of speech. If Indian govt also does the same as US then US diplomats would know. How freedom of speech works in India too.,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
Tell this joker Russia isn't India 😂😂😂,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
Thank you all for your every lasting support ❤,Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
...avoid tall buildings and balconies😂😂,guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in Toronto was targeted by khalistanis and now they want to track the Russian Envoy Moscow says this is equivalent to plotting a terror attack so they are demanding more security but don't expect Justin trudo to help out the true scale of support to khalistan is just becoming evident we have some new information from Canada it shows an increase in Asylum claims of khalistan sympathizers since the pandemic these claims have shut up now look at the numbers in 2020 just 28 khalistan sympathizers sought asylum in Canada in 2021 the number went up to 144 and in 2023 to 620 this coincided with a big change in Canadian politics in the 2021 election Trudeau could not secure a majority he needed help from the NDP the new democrat party it is led by Pro khalistan leader jmit Singh after this Alliance the Asylum number shot up in Canada is that a coincidence or a policy change only prime minister tudo can answer and just to be clear there is no active separatist movement in Punjab that's all in the past so I'm not sure what these Asylum Seekers are fleeing really just looking for a free ride I guess but either way the Trudeau jagm Alliance is now over jmit Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem
"Soon, every Indian realizes who is behind all this clown show. The USA is the root cause of all these issues.",guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in Toronto was targeted by khalistanis and now they want to track the Russian Envoy Moscow says this is equivalent to plotting a terror attack so they are demanding more security but don't expect Justin trudo to help out the true scale of support to khalistan is just becoming evident we have some new information from Canada it shows an increase in Asylum claims of khalistan sympathizers since the pandemic these claims have shut up now look at the numbers in 2020 just 28 khalistan sympathizers sought asylum in Canada in 2021 the number went up to 144 and in 2023 to 620 this coincided with a big change in Canadian politics in the 2021 election Trudeau could not secure a majority he needed help from the NDP the new democrat party it is led by Pro khalistan leader jmit Singh after this Alliance the Asylum number shot up in Canada is that a coincidence or a policy change only prime minister tudo can answer and just to be clear there is no active separatist movement in Punjab that's all in the past so I'm not sure what these Asylum Seekers are fleeing really just looking for a free ride I guess but either way the Trudeau jagm Alliance is now over jmit Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem
Russia said to cia : buy some good suit for pannu😂😂😂he looks cringy,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
What do tall buildings and balconies have to do with this🤣😂🤣😂🤣😂,guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in Toronto was targeted by khalistanis and now they want to track the Russian Envoy Moscow says this is equivalent to plotting a terror attack so they are demanding more security but don't expect Justin trudo to help out the true scale of support to khalistan is just becoming evident we have some new information from Canada it shows an increase in Asylum claims of khalistan sympathizers since the pandemic these claims have shut up now look at the numbers in 2020 just 28 khalistan sympathizers sought asylum in Canada in 2021 the number went up to 144 and in 2023 to 620 this coincided with a big change in Canadian politics in the 2021 election Trudeau could not secure a majority he needed help from the NDP the new democrat party it is led by Pro khalistan leader jmit Singh after this Alliance the Asylum number shot up in Canada is that a coincidence or a policy change only prime minister tudo can answer and just to be clear there is no active separatist movement in Punjab that's all in the past so I'm not sure what these Asylum Seekers are fleeing really just looking for a free ride I guess but either way the Trudeau jagm Alliance is now over jmit Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem
The CIA is not providing enough funds to Pannu for him to hire a better video editor.,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
Why media cover this joker 😂😂 he is too funny 😅,Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
